user_id,product,campaign_id,isClick
94025,0,2,0.08270765881514905
135659,0,2,0.08427504780437953
135659,4,9,0.04664523961619908
2569,3,9,0.05065654104820175
53895,7,4,0.12650540685592598
81998,9,9,0.049378583647698066
17921,3,4,0.015310066210901812
44038,6,9,0.021727270565270608
81817,3,0,0.06820728763035255
135660,1,9,0.0640329439853336
135660,1,9,0.06284250175738045
72265,1,8,0.0602768085207252
135661,6,9,0.06442662558597632
135661,6,9,0.046748057744699305
66501,0,2,0.08371544205535675
46559,1,9,0.05557290392305066
135662,6,9,0.04817479500267988
135662,6,9,0.04449955666979019
129,1,9,0.02578824478731185
129,1,9,0.022395505375430568
135663,1,9,0.061823725326200174
135664,3,9,0.077899746915324
135664,1,9,0.06609605408185876
44038,1,9,0.02511272623608142
44038,9,9,0.022914198549259236
39991,6,9,0.05767396378597882
129,4,9,0.024569937828284958
129,5,9,0.028855893296041685
135665,6,9,0.05187339669282977
34422,3,9,0.04779889247877381
98474,0,1,0.04525865789450345
44038,6,9,0.022742975959330745
44038,4,9,0.023680933352426776
8674,1,8,0.05523541205030115
39815,5,0,0.06472942333596292
100136,1,9,0.04925156993105833
100136,1,9,0.047059423555590126
46559,1,9,0.044371324904133286
20209,0,4,0.03777752213743706
34422,0,3,0.035668781167469764
31373,1,9,0.05890698302378264
31373,3,9,0.07278732137498005
130771,8,4,0.07426382032659193
130771,8,4,0.1140030541251686
23120,0,0,0.08265344130874089
134455,6,9,0.06309696588936323
134455,6,9,0.05259780497853024
135666,8,4,0.10864488446061207
135667,3,9,0.07213585519902123
135667,1,9,0.059237622943286564
46559,1,9,0.046598204852102
11776,5,3,0.017242170109676706
11776,4,6,0.039292651079121506
219,6,9,0.036635751591998264
8000,1,9,0.03413691906735192
8000,3,9,0.05362776410081732
8000,3,9,0.03875941893687325
135668,1,9,0.05061648081526024
122010,1,9,0.06656303364915679
78362,6,9,0.044023270995915464
135669,1,9,0.06031935099184191
219,5,9,0.042651724204388564
105342,1,9,0.21280450728003664
105342,9,2,0.2525725922158141
135670,6,9,0.061607079467118665
135670,3,9,0.07080503128850849
135668,1,9,0.051581106156657563
135668,3,9,0.09699413211678361
102795,9,4,0.05752939366996623
135576,1,9,0.05838207682807327
135671,1,9,0.03840809121796461
119559,0,2,0.11217232505253108
119559,0,3,0.0480069527542137
135671,1,9,0.03840809121796461
135671,1,9,0.036192090662122214
135672,0,2,0.09653603398042426
64262,3,4,0.05084984702933113
230,1,8,0.06505164288446647
230,7,4,0.08482517888851672
45430,0,0,0.06001098120080102
135673,9,9,0.05097849770287335
135673,1,9,0.07698570868156009
135671,0,1,0.05274615704934639
30177,5,5,0.15500322901448887
35188,0,3,0.017285156997813713
11776,4,6,0.029204789524958478
135615,1,9,0.09621195618267424
35188,2,6,0.025213411693731796
35188,0,6,0.028294214149217248
92079,1,9,0.023121827110029757
135674,3,9,0.08406302195578616
64055,3,4,0.11377990806198998
64055,7,4,0.1098226106454396
14795,3,0,0.02499472164161873
135675,1,9,0.054118571675627905
49198,3,4,0.06487902332743344
78598,1,9,0.03255645008904261
78598,6,9,0.028784934642064955
105342,1,9,0.21280450728003664
105342,1,9,0.23222421589329834
14795,3,0,0.03927654380174272
135676,1,9,0.0646031838583323
88538,4,9,0.013123456008541
20209,0,4,0.03003468173789884
92079,1,9,0.028379609787924205
11395,0,2,0.07176860077429767
122284,1,9,0.05661973009881632
88538,1,9,0.017147138768525874
88538,3,4,0.020676247651308932
88538,1,9,0.014790946166217761
135631,3,9,0.06052093520383496
135631,1,9,0.04905834055554324
102284,3,9,0.06810542978984713
88538,1,9,0.017147138768525874
88538,3,9,0.015736969381049612
125559,1,9,0.05187395519343026
8904,5,4,0.09253783459584652
92079,1,9,0.026182082857105216
92079,1,9,0.02495532549597012
105342,3,9,0.2578685695470928
105342,0,0,0.19002104309451034
105342,9,9,0.17670056236921633
78598,1,9,0.028695075094516527
135677,1,9,0.04676478251763541
135677,1,9,0.059325590089119015
135673,6,9,0.04524950224669069
135673,3,9,0.06958667888297543
116774,8,4,0.12883997461532168
71509,0,3,0.03397111107411446
88538,0,2,0.019358313740153555
88538,3,9,0.018086573983062654
71509,0,0,0.0781175554791226
40885,9,2,0.06981727445071205
40885,1,9,0.05581420709673067
14795,0,3,0.020494295949490687
25174,3,9,0.0632196687499648
40869,0,3,0.04087703143977438
17215,5,9,0.03973230951340075
17215,9,9,0.033606468758244405
78598,1,9,0.03255645008904261
78598,6,9,0.027169225957756525
135678,3,9,0.0685411676082928
40779,5,0,0.061158894065536824
135679,0,2,0.10210811682643117
21766,5,4,0.03868029523006675
21766,5,7,0.03751134142927331
135680,1,9,0.045957260968485444
92504,0,2,0.09566098773102727
18877,3,0,0.030076355106018162
28170,1,9,0.05722445993084923
28170,1,9,0.05532975616865163
129,4,9,0.0257566989623592
135673,3,9,0.06958667888297543
135681,5,4,0.10991588686850574
105342,3,9,0.2578685695470928
105342,1,9,0.18209459306490575
135682,1,9,0.0571966292343075
92459,1,9,0.03524140079880818
92459,6,9,0.03897645192341525
135673,5,9,0.04623758047946796
76362,0,2,0.08975154637047805
14195,2,4,0.020355029741357937
135683,0,0,0.06121702567708523
130540,1,9,0.05561360682717144
135684,0,3,0.053878719375208134
17185,0,0,0.037140907236366906
130771,0,3,0.04120152939186779
135685,7,4,0.11629042149384639
98860,6,9,0.030586491060924464
42589,3,9,0.048215835837130794
42589,3,9,0.04841486780515445
51832,5,0,0.06632909968849635
